,feature,label
271,[0.21303028 1.02499755 0.45669285 4.81151102],1
272,[0.18663361 0.93671882 0.43263042 5.01902533],1
273,[0.17123288 0.95188099 0.27407722 5.55898496],1
274,[0.22619048 1.05723968 0.35004716 4.67411225],1
275,[0.21409592 0.90806318 0.25976054 4.24138472],1
276,[0.27607881 1.0042363  0.47918193 3.63749859],1
277,[0.21071031 1.07503143 0.44535045 5.10194037],1
278,[0.21080638 0.7917344  0.27102614 3.75574221],1
279,[0.23015308 1.12698418 0.45191972 4.8966721 ],1
280,[0.27279928 1.43075308 0.59476019 5.24470983],1
281,[0.25       0.91726737 0.45477404 3.66906946],1
282,[0.28370233 0.82516821 0.5221065  2.90857045],1
283,[0.14485719 1.12186009 0.39124389 7.74459377],1
284,[0.22352941 1.0086639  0.38174062 4.51244376],1
285,[0.22266862 0.83273745 0.37365775 3.73980597],1
286,[0.30783368 0.71504106 0.38271804 2.32281618],1
287,[0.2        1.07071438 0.47989928 5.3535719 ],1
288,[0.21693046 1.17417981 0.2662122  5.41270146],1
289,[0.2        0.98674926 0.46284439 4.93374631],1
290,[0.27607882 1.35745967 0.47918192 4.91692799],1
291,[0.20805128 0.87703301 0.38096386 4.21546556],1
292,[0.24049555 1.0354474  0.56421413 4.30547432],1
293,[0.16365139 1.07783919 0.36069956 6.58619018],1
294,[0.1754386  1.         0.28891615 5.7       ],1
295,[0.23318104 1.28093366 0.4592617  5.49330115],1
296,[0.20269788 1.037975   0.51790288 5.12079844],1
297,[0.21880437 0.93747524 0.36507265 4.2845361 ],1
298,[0.25       1.14430595 0.45477398 4.5772238 ],1
299,[0.22346092 0.96494686 0.35904329 4.31819062],1
300,[0.21316707 0.65621908 0.28372725 3.0784261 ],1
301,[0.35227076 0.98728859 0.5774158  2.80264135],1
302,[0.22475843 1.13910604 0.33844297 5.06813481],1
303,[0.203125   1.32782888 0.21169317 6.53700372],1
304,[0.2573456  1.17940352 0.53918616 4.58295579],1
305,[0.2216813  1.00394282 0.27858658 4.52876629],1
306,[0.22976393 1.02881653 0.35151878 4.47771123],1
307,[0.21075227 0.90839993 0.29398648 4.31027356],1
308,[0.7827412  3.05876928 0.75304369 3.90776581],1
309,[0.26361485 1.13507708 0.28223658 4.30581617],1
310,[3.35900186 0.58856199 1.64144522 0.17521931],1
311,[0.2593511  1.05950346 0.43516539 4.08520907],1
312,[0.32849885 1.26179827 0.45965793 3.84110406],1
313,[0.21322067 1.01525813 0.37236084 4.76153702],1
314,[0.16487934 1.25396828 0.28218476 7.60536931],1
315,[0.16438356 1.09725063 0.2976735  6.67494136],1
316,[0.25684936 1.17367412 0.32590372 4.56950384],1
317,[0.24504601 1.75601822 0.56397191 7.16607541],1
318,[0.2299928  0.69484274 0.42811535 3.02115003],1
319,[0.23977743 1.06184646 0.54559363 4.4284671 ],1
320,[0.22698984 1.14231461 0.29355515 5.03244822],1
321,[0.25277154 1.04788604 0.55549447 4.14558557],1
322,[0.33706436 1.02000677 0.4142392  3.02614838],1
323,[0.16470588 1.43608042 0.48336381 8.7190597 ],1
324,[0.62265418 0.78125368 0.54162224 1.25471522],1
325,[0.26965094 0.95259807 0.45139433 3.53270817],1
326,[0.19844489 1.39279839 0.46807774 7.01856527],1
327,[0.1744186  0.99570123 0.38090121 5.70868704],1
328,[5.00142062 0.38207823 1.61329719 0.07639394],1
329,[0.2740595  0.76979886 0.45454859 2.80887493],1
330,[0.22294815 1.08372725 0.35091461 4.86089358],1
331,[0.23893805 0.9429427  0.46773042 3.94638981],1
332,[0.27771324 0.96174479 0.49414276 3.46308579],1
333,[0.16572653 0.89266736 0.28072588 5.38638776],1
334,[0.16564728 1.0633293  0.28378112 6.41923785],1
335,[0.22664657 0.99008724 0.5472388  4.36841923],1
336,[0.2125     0.94483497 0.34880987 4.4462822 ],1
337,[0.23686964 0.75496734 0.32639566 3.18726934],1
338,[0.16019075 0.95751516 0.35029838 5.97734367],1
339,[0.28142456 1.04516507 0.46478687 3.71383742],1
340,[0.22413793 1.12497725 0.36178623 5.01912925],1
341,[0.19736842 1.04605708 0.42878774 5.30002254],1
342,[0.25684936 1.15529698 0.39196878 4.4979555 ],1
343,[0.19298246 1.04367781 0.44183618 5.40814867],1
344,[0.25643529 0.94898916 0.41713755 3.70069648],1
345,[0.2785729  1.         0.65604726 3.58972461],1
346,[0.25933766 0.83063659 0.75274433 3.20291544],1
347,[0.32758621 1.02600557 0.4511264  3.132017  ],1
348,[0.33590262 1.0091757  0.47624162 3.00436988],1
349,[0.27607881 1.00154205 0.64808091 3.6277396 ],1
350,[0.20180183 0.92524025 0.46142221 4.58489515],1
351,[0.2155875  1.12055751 0.35283237 5.19769242],1
352,[0.25325061 0.96660273 0.56577032 3.81678335],0
353,[0.21745318 0.87753322 0.37093231 4.03550421],1
354,[0.30135603 1.08634074 0.5268079  3.60484159],1
355,[0.21910696 1.09454645 0.5249551  4.99548916],1
356,[0.30658479 1.00560224 0.53866801 3.28001353],1
357,[0.25160593 0.96849121 0.54711534 3.84923835],1
358,[0.26826309 0.89016122 0.41986836 3.31823963],1
359,[0.22169811 0.99241014 0.37824495 4.47640318],1
360,[0.23195876 0.73380863 0.36896498 3.16353055],1
361,[0.16190476 0.65358144 0.32603418 4.03682653],1
362,[0.36391447 0.69098966 0.62059958 1.89876939],1
363,[0.19840173 0.76303348 0.48149966 3.84590139],1
364,[0.16666667 0.68029404 0.3290109  4.08176422],1
365,[0.17142857 0.73104946 0.33210542 4.26445515],1
366,[0.20497103 0.64062321 0.37225727 3.12543301],1
367,[0.24671441 0.6028376  0.38656129 2.44346332],1
368,[0.27102804 0.93576047 0.45244834 3.45263344],1
369,[0.18753028 0.54804067 0.32563769 2.92241161],1
370,[0.26327524 0.7914548  0.50790043 3.00618773],1
371,[0.30643938 0.66320761 0.39528962 2.16423754],1
372,[0.30107527 1.03140635 0.52859864 3.42574253],1
373,[0.21418321 0.72085073 0.29314166 3.36558005],1
374,[0.27272727 0.71727109 0.45204317 2.62999399],1
375,[0.29109188 0.86999339 0.59694751 2.98872433],1
376,[0.19651861 0.73872741 0.26262119 3.75907094],1
377,[0.19811321 0.98877929 0.30437239 4.9909812 ],1
378,[0.2076137  0.74146475 0.45726105 3.57136715],1
379,[0.21758554 0.46682411 0.30668676 2.14547393],1
380,[0.25       0.72296163 0.37865435 2.89184654],1
381,[0.16602165 0.59975343 0.32063136 3.6125014 ],1
382,[0.17307163 0.75220049 0.40693685 4.34618026],1
383,[0.2688172  0.79951451 0.4509918  2.97419396],1
384,[0.32268869 0.73806324 0.54698365 2.28722996],1
385,[0.18614831 0.89372058 0.541753   4.80112103],1
386,[0.27518145 0.78335023 0.45299232 2.846668  ],1
387,[0.19912003 0.80723049 0.45037728 4.05398945],1
388,[0.2        0.84865874 0.46286391 4.24329371],1
389,[0.18668142 0.53352814 0.38258285 2.85796059],1
